boardgame,average_bgg_rating,average_difficulty,bgg_rank,num_owned,play_time,max_players,min_players,rec_age_range_from,average_players,price_i_paid,my_rating,year_bought
7 Wonders Duel,8.09901,2.2261,18,140451,30,2,2,10,2,18,9,2022
A Game Of Thrones: The Board Game (Second Edition),7.54716,3.722,184,45898,240,6,3,14,4.5,40,NA,2014
A War Of Whispers,7.35921,2.5248,864,5810,60,4,2,12,3,34,7,2021
Back To The Future: Back In Time,7.26414,2.3871000000000002,1292,6587,50,4,2,8,3,32,8,2021
Bang! The Dice Game,6.90757,1.2795,733,37415,15,8,3,8,5.5,17,5,2018
Batman: The Animated Series Adventures,8.12519,3.4828,3545,1596,90,5,1,12,3,97,NA,2021
Bears Vs Babies,5.43756,1.2526,24508,12871,20,5,2,8,3.5,NA,6,2018
Bilder,6.75184,2,11823,173,60,12,2,8,7,47,7,2020
Burgle Bros 2: The Casino Capers,7.37987,2.4865,1655,4909,70,4,1,10,2.5,37,8,2021
Canvas,7.33133,1.6471,465,18300,30,5,1,8,3,44,7,2021
Captain Sonar,7.52558,2.1821,193,27974,60,8,2,12,5,33,9,2018
Concept,6.77148,1.3817,968,30783,40,12,4,10,8,19,7,2019
Cryptid,7.46266,2.2362,282,17760,50,5,3,10,4,21,7,2019
Dead Of Winter: The Long Night,7.54531,3.3587,322,20870,120,5,2,14,3.5,30,7,2017
Decrypto,7.77892,1.8118,97,31448,45,8,3,10,5.5,16,8,2018
Everdell: The Complete Collection,8.88292,3,31,8148,120,6,1,14,3.5,182,10,2022
Exploding Kittens,6.04801,1.0901,3607,65893,15,5,2,8,3.5,NA,7,2015
Fallout,6.92356,3.0165,1171,16078,180,4,1,12,2.5,53,7,2018
Firefly: The Game,7.3904,2.9544,422,21966,240,4,1,12,2.5,40,7,2014
Forbidden Desert,7.08973,2.0382,482,51794,45,5,2,8,3.5,17,7,2015
Gorilla Marketing,7.15259,1.4,6275,485,40,8,3,14,5.5,23,3,2022
Inuit: The Snow Folk,6.87341,1.9286,3899,1027,45,4,2,8,3,30,6,2019
Jaws,7.12847,2.1556,935,14113,60,4,2,10,3,22,7,2020
Kingdom Rush: Rift In Time,7.38356,2.9744,1396,5349,90,4,1,10,2.5,112,8,2020
Lost Ruins Of Arnak,8.0793,2.9019,28,54248,120,4,1,10,2.5,46,9,2021
Merchants Of The Dark Road,7.42507,3.1806,1041,6276,120,4,1,12,2.5,101,8,2022
Namiji,7.10171,1.7391,2799,2684,45,5,2,8,3.5,52,9,2022
On Tour,6.96332,1.4545,1145,7642,20,8,1,8,4.5,27,7,2020
Overbooked,7.04139,1.8966,2361,2741,40,4,1,8,2.5,25,7,2020
Pandemic Legacy: Season 1,8.53569,2.832,2,78708,60,4,2,12,3,56,NA,2019
Paranormal Detectives,7.02248,1.6842,1710,4530,50,6,2,10,4,19,6,2021
Parks,7.6939,2.1439,131,38432,60,5,1,10,3,35,9,2019
Radlands,7.94693,2.2353,168,15437,40,2,2,12,2,39,6,2021
Rick And Morty: The Ricks Must Be Crazy Multiverse Game,6.00404,2.75,13281,766,45,4,2,14,3,16,7,2018
Rick And Morty: Total Rickall Card Game,6.13818,1.5,4419,6742,30,5,2,12,3.5,21,7,2017
Risk: The Walking Dead,6.44416,1.9167,6572,1391,60,5,2,12,3.5,25,4,2015
Root,8.08015,3.7723,29,68243,90,4,2,12,3,116,10,2020
Santorini,7.3815,1.7322,242,58509,20,4,2,6,3,24,7,2018
Shards Of Infinity,7.49986,1.987,639,7472,30,4,2,8,3,15,8,2018
Sleeping Gods,8.30626,3.2277,55,22032,120,4,1,10,2.5,85,10,2021
Slip Strike,6.76964,1.3333,10228,319,15,2,2,NA,2,12,6,2020
Spyfall,6.79591,1.2364,879,28461,15,8,3,12,5.5,18,7,2016
Spyfall 2,6.86201,1.2381,1602,6614,15,12,3,10,7.5,19,8,2017
Takenoko,7.22635,1.9769,354,66579,45,4,2,8,3,27,8,2018
Terraforming Mars,8.37605,3.2588,6,125751,120,5,1,12,3,44,9,2020
The Witcher: Old World,8.26015,2.8808,972,5131,150,5,1,10,3,107,NA,2023
Tinderblox,6.74976,1,3827,2473,15,6,2,6,4,10,6,2020
Tiny Epic Pirates,7.06736,2.8406,1900,6876,60,4,1,12,2.5,40,7,2021
Tokaido Collector's Edition,7.66799,1.9714,703,3418,45,5,2,8,3.5,64,9,2017
Townsfolk Tussle,7.70079,2.5862,2030,2145,200,5,2,14,3.5,85,8,2022
Treasure Island,7.24381,2.2453,694,10303,45,5,2,10,3.5,32,8,2020
Twilight Struggle,8.25317,3.6029,14,65349,180,2,2,14,2,37,NA,2016
Unmatched: Hell's Kitchen,8.30642,2.2,2088,2747,40,3,2,NA,2.5,35,7,2022
Unmatched: Jurassic Park,8.06685,2,1857,3634,40,2,2,NA,2,27,NA,2023
Veiled Fate,7.74362,2.0286,2095,1989,90,8,2,10,5,66,8,2022
Village Pillage,7.39977,1.375,2698,1906,20,5,2,8,3.5,22,8,2018
Wavelength,7.30895,1.1163,438,18625,45,12,2,10,7,25,9,2022
