Game,Price I paid (œ),BGG rating,My rating,Year bought
7 Wonders Duel,18,,9,2022
A Game of Thrones: The Board Game (Second Edition),40,7.6,,2014
A War of Whispers,34,,7,2021
Back to the Future: Back in Time,32,7.4,8,2021
BANG! The Dice Game,17,6.9,5,2018
Batman: The Animated Series Adventures - Shadow of the Bat,97,,,2021
Bears vs Babies,,,6,2018
Bilder,47,6.8,7,2020
Burgle Bros 2: The Casino Capers,37,7.7,8,2021
Canvas,44,7.7,7,2021
Captain Sonar,33,7.6,9,2018
Concept,19,6.8,7,2019
Cryptid,21,7.5,7,2019
Dead of Winter: The Long Night,30,7.6,7,2017
Decrypto,16,7.8,8,2018
Everdell: The Complete Collection,182,,10,2022
Exploding Kittens,,,7,2015
Fallout,53,6.9,7,2018
Firefly: The Game,40,7.4,7,2014
Forbidden Desert,17,7.1,7,2015
Gorilla Marketing,23,,3,2022
Inuit: The Snow Folk,30,6.9,6,2019
Jaws,22,7.3,7,2020
Kingdom Rush: Rift In Time,112,7.7,8,2020
Lost Ruins of Arnak,46,8.1,9,2021
Merchants of the Dark Road,101,,8,2022
Namiji,52,,9,2022
On Tour,27,7.1,7,2020
Overbooked,25,7.1,7,2020
Pandemic Legacy: Season 1,56,8.6,,2019
Paranormal Detectives,19,,6,2021
Parks,35,7.9,9,2019
Radlands,39,,6,2021
Rick and Morty: The Ricks Must be Crazy Multiverse Game,16,6.1,7,2018
Rick and Morty: Total Rickall Card Game,21,6.2,7,2017
Risk: The Walking Dead - Survival Edition,25,6.5,4,2015
Root,116,8.1,10,2020
Santorini,24,7.5,7,2018
Shards of Infinity,15,7.5,8,2018
Sleeping Gods,85,8.7,10,2021
Slip Strike,12,7,6,2020
Spyfall,18,6.9,7,2016
Spyfall 2,19,7,8,2017
Takenoko,27,7.3,8,2018
Terraforming Mars,44,8.4,9,2020
The Witcher: Old World,107,,,2023
Tinderblox,10,7,6,2020
Tiny Epic Pirates,40,7.3,7,2021
Tokaido Collector's Edition,64,7.9,9,2017
Treasure Island,32,7.3,8,2020
Twilight Struggle,37,8.3,,2016
Unmatched: Hell's Kitchen,35,,7,2022
Unmatched: Jurassic Park - Dr. Sattler vs. T. Rex,27,,,2023
Veiled Fate,66,,8,2022
Village Pillage,22,7.5,8,2018
Wavelength,25,,9,2022
Townsfolk Tussle,85,,8,2022
,,,,
,,,,
TOTAL,1426,,,
